battery_formula,target,EN,Ionic radius,Lower cut-off voltage,Upper cut-off voltage,C-rate,Cycle numbers,Li,Ni,Co,Mn,O,F,Na,Mg,Al,Cl,K,Ca,Ti,W,Fe,Zn,Zr,Nb,Mo,Ta,Sb,B
Li(Ni0.92Co0.04Mn0.04)0.99Zr0.01O2,83,1.33,0.072,2.5,4.4,0.3,100,1,0.9108,0.0396,0.0396,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
LiNi0.92Co0.04Mn0.04O2,68,0,0,2.5,4.4,0.3,100,1,0.92,0.04,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.85Co0.10Mn0.05O2,67.2,0,0,2.7,4.3,1,200,1,0.85,0.1,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.07Fe0.03Mn0.1O2,80,1.83,0.0645,2.8,4.3,5,200,1,0.8,0.07,0.1,2,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
LiNi0.83Co0.11Mn0.06O2,61.2,0,0,2.8,4.3,1,200,1,0.83,0.11,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.995Nb0.005O2,84.1,1.6,0.064,2.8,4.3,1,200,1,0.8258,0.1095,0.0597,2,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Nb0.01O2,86.6,1.6,0.064,2.8,4.3,1,200,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.985Nb0.015O2,85.3,1.6,0.064,2.8,4.3,1,200,1,0.8175,0.1084,0.0591,2,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0
Li0.97K0.03Ni0.8Co0.1Mn0.1O2,91,0.82,0.138,2.8,4.3,1,200,0.97,0.8,0.1,0.1,2,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O2,87.7,0,0,2.5,4.3,0.2,100,1,0.8,0.1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Mg0.01O2,88.1,1.31,0.072,2.5,4.3,0.2,100,1,0.792,0.099,0.099,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98Mg0.02O2,92.4,1.31,0.072,2.5,4.3,0.2,100,1,0.784,0.098,0.098,2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,93.2,1.31,0.072,2.5,4.3,0.2,100,1,0.776,0.097,0.097,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Ti0.01O2,86.7,1.54,0.0605,2.5,4.3,1,100,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98Ti0.02O2,92.9,1.54,0.0605,2.5,4.3,1,100,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
LiNi0.9 Co0.05Mn0.05O 2,85.3,0,0,2.8,4.3,2,100,1,0.9,0.05,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.99F0.01,95.5,3.98,0.133,2.8,4.3,2,100,1,0.9,0.05,0.05,1.99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.98F0.02,73.2,3.98,0.133,2.8,4.3,2,100,1,0.9,0.05,0.05,1.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.96F0.04,48.7,3.98,0.133,2.8,4.3,2,100,1,0.9,0.05,0.05,1.96,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995Ti0.005O2,91.62,1.54,0.0605,2.8,4.3,0.1,100,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Mg0.01O2,70.65,1.31,0.072,2.8,4.3,1,200,1,0.8,0.1,0.09,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Al0.01O2,65.58,1.61,0.0535,2.8,4.3,1,200,1,0.8,0.1,0.09,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.9975W0.0025O2,91.5,2.36,0.06,2.8,4.5,1,100,1,0.798,0.0997,0.0998,2,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995W0.005O2,92.1,2.36,0.06,2.8,4.5,1,100,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99W0.01O2,91.7,2.36,0.06,2.8,4.5,1,100,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98W0.02O2,91.3,2.36,0.06,2.8,4.5,1,100,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LiNi0.88Co0.095Mn0.025O2,52.2,0,0,2.8,4.3,1,150,1,0.88,0.095,0.025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.99Al0.01O2,83.45,1.61,0.0535,2.8,4.3,1,150,1,0.871,0.094,0.0248,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.98Al0.02O2,91.58,1.61,0.0535,2.8,4.3,1,150,1,0.862,0.0931,0.0245,2,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.97Al0.03O2,86.56,1.61,0.0535,2.8,4.3,1,150,1,0.854,0.0921,0.0243,2,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.999Na0.001Ni0.8Co0.1Mn0.1O2,90.38,0.93,0.102,2.8,4.3,1,200,0.999,0.8,0.1,0.1,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.997Na0.003Ni0.8Co0.1Mn0.1O2,89.5,0.93,0.102,2.8,4.3,1,200,0.997,0.8,0.1,0.1,2,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.995Na0.005Ni0.8Co0.1Mn0.1O2,89.44,0.93,0.102,2.8,4.3,1,200,0.995,0.8,0.1,0.1,2,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.999K0.001Ni0.8Co0.1Mn0.1O2,87.86,0.82,0.138,2.8,4.3,1,200,0.999,0.8,0.1,0.1,2,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Li0.997K0.003Ni0.8Co0.1Mn0.1O2,88.6,0.82,0.138,2.8,4.3,1,200,0.997,0.8,0.1,0.1,2,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Li0.998K0.005Ni0.8Co0.1Mn0.1O2,86.34,0.82,0.138,2.8,4.3,1,200,0.995,0.8,0.1,0.1,2,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.999F0.001,90.32,3.98,0.133,2.8,4.3,1,200,1,0.8,0.1,0.1,1.999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.997F0.003,87.26,3.98,0.133,2.8,4.3,1,200,1,0.8,0.1,0.1,1.997,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.995F0.005,84.83,3.98,0.133,2.8,4.3,1,200,1,0.8,0.1,0.1,1.995,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.999Cl0.001,91.38,3.16,0.181,2.8,4.3,1,200,1,0.8,0.1,0.1,1.999,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.997Cl0.003,85.67,3.16,0.181,2.8,4.3,1,200,1,0.8,0.1,0.1,1.997,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.995Cl0.005,75.69,3.16,0.181,2.8,4.3,1,200,1,0.8,0.1,0.1,1.995,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1£©0.97Ti0.03O2,84,1.54,0.0605,2.8,4.6,1,100,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
LiNi0.83Co0.12Mn0.05O2,77.8,0,0,2.8,4.5,1,200,1,0.83,0.12,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.9928Zr0.0072O2,80.3,1.33,0.072,2.8,4.5,1,200,1,0.824,0.1191,0.0497,2,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.9904Zr0.0096O2,79.5,1.33,0.072,2.8,4.5,1,200,1,0.822,0.1188,0.0495,2,0,0,0,0,0,0,0,0,0,0,0,0.0096,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.988Zr0.012O2,78.6,1.33,0.072,2.8,4.5,1,200,1,0.8283,0.1186,0.0494,2,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Al0.01O2,78.92,1.61,0.0535,2.7,4.3,1,200,1,0.8,0.1,0.09,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995Nb0.005O2,90.44,1.6,0.064,2.7,4.3,1,100,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.01O2,94.55,1.6,0.064,2.7,4.3,1,100,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.02O2,87.65,1.6,0.064,2.7,4.3,1,100,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.03O2,81.84,1.6,0.064,2.7,4.3,1,100,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995B0.005O2,98.13,2.04,0.027,2.8,4.3,0.5,100,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
Li(Ni0.8Co0.1Mn0.1)0.99B0.01O2,98.29,2.04,0.027,2.8,4.3,0.5,100,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Li(Ni0.8Co0.1Mn0.1)0.98B0.02O2,97.73,2.04,0.027,2.8,4.3,0.5,100,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Li(Ni0.8Co0.1Mn0.1)0.95Ti0.05O2,87.6,1.54,0.0605,2.8,4.5,1,200,1,0.76,0.095,0.095,2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.985Zr0.015O2 ,91.5,1.33,0.072,2.8,3.4,2,200,1,0.788,0.0985,0.0985,2,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Zr0.01O2,92,1.33,0.072,2.8,4.3,1,100,1,0.8,0.1,0.09,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.98F0.02,92.1,3.98,0.133,2.8,4.3,1,50,1,0.6,0.2,0.2,1.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.96F0.04,90.3,3.98,0.133,2.8,4.3,1,50,1,0.6,0.2,0.2,1.96,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.94F0.06,88.2,3.98,0.133,2.8,4.3,1,50,1,0.6,0.2,0.2,1.94,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.99Nb0.01O2,36.8,1.6,0.064,3,4.1,2,500,1,0.594,0.198,0.198,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.97Nb0.03O2,91.4,1.6,0.064,3,4.1,2,500,1,0.582,0.198,0.198,2,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.998Al0.002O2,98.3,1.61,0.0535,3,4.3,2,100,1,0.5988,0.1996,0.1996,2,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.99Al0.01O2,91.3,1.61,0.0535,3,4.3,2,100,1,0.594,0.198,0.198,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.95Al0.05O2,88.1,1.61,0.0535,3,4.3,2,100,1,0.57,0.19,0.19,2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.99Na0.01Ni0.6Co0.2Mn0.2O2,93.51,0.93,0.102,2.8,4.3,1,100,0.99,0.6,0.2,0.2,2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.97Na0.03Ni0.6Co0.2Mn0.2O2,91.67,0.93,0.102,2.8,4.3,1,100,0.97,0.6,0.2,0.2,2,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,91.7,1.31,0.072,2.8,4.3,1,400,1,0.776,0.097,0.097,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Ca0.03O2,81.1,1,0.099,2.8,4.3,1,400,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
Li[Ni0.90Co0.05Mn0.05]0.996B0.004O2,87,2.04,0.027,2.7,4.3,0.1,100,1,0.8964,0.0498,0.0498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004
Li[Ni0.90Co0.05Mn0.05]0.99B0.01O2,91,2.04,0.027,2.7,4.3,0.1,100,1,0.891,0.0495,0.0495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
